[04-05-2026 21:54:58.221] [BiddingProcessorMicroservice] EVENT=cycle_start | source=/127.0.0.1:56276
[04-05-2026 21:54:58.252] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56051, body=licitez 3685
[04-05-2026 21:54:58.255] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56053, body=licitez 4196
[04-05-2026 21:54:58.255] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56055, body=licitez 2070
[04-05-2026 21:54:58.256] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56057, body=licitez 9676
[04-05-2026 21:54:58.256] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56059, body=licitez 9196
[04-05-2026 21:54:58.256] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56061, body=licitez 2683
[04-05-2026 21:54:58.256] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56063, body=licitez 5724
[04-05-2026 21:54:58.257] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56065, body=licitez 9746
[04-05-2026 21:54:58.257] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56067, body=licitez 4107
[04-05-2026 21:54:58.257] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56069, body=licitez 5655
[04-05-2026 21:54:58.257] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56071, body=licitez 6736
[04-05-2026 21:54:58.258] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56073, body=licitez 8334
[04-05-2026 21:54:58.258] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56075, body=licitez 7851
[04-05-2026 21:54:58.258] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56077, body=licitez 8849
[04-05-2026 21:54:58.258] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56079, body=licitez 7614
[04-05-2026 21:54:58.259] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56083, body=licitez 6929
[04-05-2026 21:54:58.259] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56085, body=licitez 7051
[04-05-2026 21:54:58.259] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56087, body=licitez 5628
[04-05-2026 21:54:58.259] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56089, body=licitez 7562
[04-05-2026 21:54:58.260] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56091, body=licitez 7971
[04-05-2026 21:54:58.260] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56093, body=licitez 7921
[04-05-2026 21:54:58.260] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56095, body=licitez 5044
[04-05-2026 21:54:58.260] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56097, body=licitez 2386
[04-05-2026 21:54:58.261] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56099, body=licitez 3088
[04-05-2026 21:54:58.261] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:56101, body=licitez 5175
