[29-04-2026 11:00:08.172] [BiddingProcessorMicroservice] EVENT=cycle_start | source=/127.0.0.1:51081
[29-04-2026 11:00:08.217] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50864, body=licitez 5921
[29-04-2026 11:00:08.221] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50866, body=licitez 2162
[29-04-2026 11:00:08.221] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50868, body=licitez 7526
[29-04-2026 11:00:08.222] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50870, body=licitez 1453
[29-04-2026 11:00:08.222] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50872, body=licitez 3286
[29-04-2026 11:00:08.222] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50874, body=licitez 4974
[29-04-2026 11:00:08.222] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50876, body=licitez 1268
[29-04-2026 11:00:08.223] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50878, body=licitez 7918
[29-04-2026 11:00:08.223] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50880, body=licitez 4942
[29-04-2026 11:00:08.223] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50882, body=licitez 3130
[29-04-2026 11:00:08.224] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50884, body=licitez 2219
[29-04-2026 11:00:08.224] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50886, body=licitez 1133
[29-04-2026 11:00:08.224] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50888, body=licitez 1649
[29-04-2026 11:00:08.224] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50890, body=licitez 5732
[29-04-2026 11:00:08.225] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50892, body=licitez 5823
[29-04-2026 11:00:08.225] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50894, body=licitez 1579
[29-04-2026 11:00:08.225] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50896, body=licitez 9343
[29-04-2026 11:00:08.225] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50898, body=licitez 9095
[29-04-2026 11:00:08.225] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50900, body=licitez 8859
[29-04-2026 11:00:08.226] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50902, body=licitez 6392
[29-04-2026 11:00:08.226] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50904, body=licitez 6294
[29-04-2026 11:00:08.226] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50906, body=licitez 4118
[29-04-2026 11:00:08.226] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50908, body=licitez 6056
[29-04-2026 11:00:08.227] [BiddingProcessorMicroservice] EVENT=bid_received | sender=/127.0.0.1:50910, body=licitez 4575
